team_name,accuracy,f_measure
SchrodingersDingo,85.65891472868218,92.44791666666667
Team11,85.65891472868218,84.11458333333333
team7,85.65891472868218,92.96875
team6,88.95348837209302,92.1875
abracaData,83.33333333333333,93.75
team4,87.98449612403101,91.14583333333333
notabug_itsafeature,87.40310077519379,93.22916666666667
team1,96.89922480620154,98.17708333333334
modelbehavior_team2,89.34108527131782,94.79166666666667
Team 15,72.09302325581395,81.77083333333333
team9,65.69767441860465,76.30208333333333
