team_name,accuracy,f_measure
team1,96.89922480620156,98.17708333333334
modelbehavior_team2,89.34108527131781,94.79166666666669
team6,88.953488372093,92.1875
team4,87.98449612403101,91.14583333333331
notabug_itsafeature,87.4031007751938,93.22916666666669
SchrodingersDingo,85.65891472868219,92.44791666666669
Team11,85.65891472868219,84.11458333333333
team7,85.65891472868219,92.96875
abracaData,83.33333333333333,93.75
team_5,74.4186046511628,100.0
Team 15,72.09302325581395,81.77083333333333
team9,65.69767441860465,76.30208333333333
